name,fiscal_year,computer_sessions,wifi_use,gate_count
Petworth Neighborhood Library,2018,48003,27432,172158
Rosedale Neighborhood Library,2018,27122,7517,100773
Shaw / Watha T. Daniel Neighborhood Library,2018,77800,35872,270904
Shepherd Park / Juanita E. Thornton Neighborhood Library,2018,30317,9934,104366
Southeast Neighborhood Library,2018,33234,14363,166853
Southwest Neighborhood Library,2018,30477,9879,98061
Takoma Park Neighborhood Library,2018,18256,6202,74616
Tenley-Friendship Neighborhood Library,2018,39716,15929,244266
West End Neighborhood Library,2018,42911,30690,165946
Woodridge Neighborhood Library,2018,54935,20737,172335
